company_name,company_url,twitter,instagram,facebook,youtube
Microsoft,https://www.microsoft.com/en-us/,https://twitter.com/microsoft,https://www.instagram.com/microsoft/,https://www.facebook.com/microsoft,https://www.youtube.com/Microsoft
Tesla,https://www.tesla.com/,https://twitter.com/tesla,https://www.instagram.com/teslamotors/,https://www.tesla.com/,https://www.youtube.com/user/TeslaMotors
Apple,https://www.apple.com/,https://twitter.com/Apple,https://www.instagram.com/apple/,https://www.facebook.com/apple/,https://www.youtube.com/user/Apple
Meta,https://www.meta.com/,https://twitter.com/Meta,https://www.instagram.com/meta/,https://about.meta.com/,https://www.youtube.com/meta
Netflix,https://www.netflix.com/,https://twitter.com/netflix,https://www.instagram.com/netflix/profilecard/,https://www.facebook.com/netflix/,https://www.youtube.com/c/Netflix/videos
Amazon,https://www.amazon.com/,https://twitter.com/amazon,https://www.instagram.com/amazon/,https://www.amazon.com/,https://www.youtube.com/user/amazon
Google,https://www.google.com/,https://twitter.com/google,https://www.instagram.com/google/,"Google is not related to Facebook. Are you looking for the official Google URL or do you mean to ask for a specific page on Google's website? If you want the main URL of Google, it's `https://www.google.com`. If you meant something else, please clarify your request.",https://www.youtube.com/google
Adobe,https://www.adobe.com/,https://twitter.com/Adobe,https://www.instagram.com/adobe/,[https://www.facebook.com/url.adobe/](https://www.facebook.com/url.adobe/),https://www.youtube.com/user/AdobeSystems
Spotify,https://www.spotify.com/us/,'https://twitter.com/spotify',https://www.instagram.com/spotify/,https://www.spotify.com/-facebook/,https://www.youtube.com/user/spotify
OpenAI,https://openai.com/,https://twitter.com/openai,https://www.instagram.com/openai/,https://openai.com/,https://www.youtube.com/c/OpenAI
